model,control,split,metric,primary,mean,nominal_lo,nominal_hi,corrected_lo,corrected_hi,seed_1001,seed_1002,seed_1003,seed_1004,seed_1005
qwen3_06b_chat,none,public,answer_set_probability,True,0.0032667223238792785,0.001207813699362723,0.005325630948395834,6.713356403256505e-05,0.006466311083725992,0.0028208539039152325,0.0009858236946216348,0.0029000779126898135,0.00423119635713981,0.005395659751029902
qwen3_06b_chat,none,public,answer_set_nll,False,-0.008693456280068634,-0.012139327752606375,-0.0052475848075308916,,,-0.007928647041495651,-0.004756884829324015,-0.01117991050154088,-0.00805591133063932,-0.011545927697343306
qwen3_06b_chat,none,public,content_micro_ce,False,-0.001148128691743039,-0.0017501782830527473,-0.0005460791004333307,,,-0.0016796290643299183,-0.0003623963560406007,-0.0011308512190075781,-0.0012427560594522602,-0.001325010759884837
qwen3_06b_chat,none,public,content_macro_ce,False,-0.0010442617466469017,-0.0023897443287436144,0.00030122083544981094,,,-0.0013875825526771246,0.0007001562461474431,-0.001166274259670197,-0.0010908940113649734,-0.002276714155669657
qwen3_06b_chat,none,public,total_micro_ce,False,-0.0009346893645176713,-0.001520221568342074,-0.0003491571606932686,,,-0.0012204224003788122,-0.0002445861771811775,-0.0014992539684480222,-0.0008602984153392723,-0.0008488858612410721
qwen3_06b_chat,none,public,eos_ce,False,0.0008148633189763554,-0.0030419166678032784,0.004671643305755989,,,0.002543674224346759,0.0007210986253706753,-0.004519034939787503,0.00227468990325691,0.0030538887816949356
qwen3_06b_chat,none,public,content_top1,False,0.00052553121604888,0.0003819388718722401,0.00066912356022552,,,0.0005179514388943263,0.00039162181965179954,0.0005684832865913148,0.0006948129058338415,0.0004547866292731184
qwen3_06b_chat,none,public,first_ce,False,-0.004437275687019326,-0.008464952164139325,-0.0004095992098993263,,,-0.005959988346756706,0.0009360040505681511,-0.005193782985323692,-0.00432018949714541,-0.007648421656438975
qwen3_06b_chat,none,public,first_top1,False,0.003852127990059029,0.002533355960171814,0.005170900019946243,,,0.004349176762969864,0.002278140209174717,0.003313658486072346,0.004349176762969864,0.004970487729108353
qwen3_06b_chat,none,public,rest_ce,False,-0.0006911094757117958,-0.0010124467170340024,-0.00036977223438958915,,,-0.001084883239227813,-0.0005428060296665121,-0.0005663164343663873,-0.0008151539428234433,-0.00044638773247482333
qwen3_06b_chat,none,public,rest_top1,False,6.330844160515881e-05,-0.00012977029884036632,0.00025638718205068395,,,-1.438828218303101e-05,0.00012949453964694602,0.000187047668378848,0.000187047668378848,-0.000172659386195817
qwen3_06b_chat,none,public,em,False,0.0021124572848711274,-0.0009174245707062661,0.005142339140448521,,,0.0009319664492078994,-0.0012426219322770882,0.0024852438645542874,0.003106554830692776,0.0052811432121777635
qwen3_06b_chat,none,public,f1,False,0.001868698358156906,-0.0005321738198382487,0.0042695705361520606,,,1.9630977673879002e-05,0.0013621433991031218,0.002734581376366396,0.0004433080699685066,0.004783827967672627
qwen3_06b_chat,none,public,avg,False,0.001990577821514261,-0.0004698203717690276,0.004450976014797549,,,0.0004757987134409447,5.97607334135164e-05,0.0026099126204601752,0.0017749314503305857,0.005032485589926083
qwen3_06b_chat,none,public,generated_tokens,False,-0.012674743709226633,-0.14014934460021422,0.11479985718176094,,,0.11556383970177109,0.0739360049704878,-0.05187946567257029,-0.07548928238583485,-0.1255048151599869
qwen3_06b_chat,none,public,hit_token_cap,False,-0.00012426219322771045,-0.00033553506699542,8.701068053999908e-05,,,0.0,0.0,-0.00031065548306927616,0.0,-0.00031065548306927616
qwen3_06b_chat,none,internal,answer_set_probability,False,0.0035537488691051444,0.0022406031567001206,0.004866894581510168,,,0.0031118946584134943,0.0028793982076396607,0.0025355221068164013,0.004116414237943511,0.005125515134712655
qwen3_06b_chat,none,internal,answer_set_nll,False,-0.02521932543321803,-0.03021471731457119,-0.020223933551864873,,,-0.02807183139369762,-0.02523170578659162,-0.018303753925923427,-0.026707722108512133,-0.027781613951365358
qwen3_06b_chat,none,internal,content_micro_ce,False,-0.0016633957320132176,-0.0022681339532862523,-0.001058657510740183,,,-0.0019505847333900206,-0.0015154087451051401,-0.0008888849148821765,-0.0018348091591582905,-0.00212729110753046
qwen3_06b_chat,none,internal,content_macro_ce,False,-0.0022341982437550758,-0.004076254329571966,-0.000392142157938186,,,-0.0016147661621630505,-0.0015000443805213703,-0.0006921153878312047,-0.002872589314494578,-0.004491475973765174
qwen3_06b_chat,none,internal,total_micro_ce,False,-0.0016561560333044623,-0.0019842039989382467,-0.0013281080676706778,,,-0.0018434804313735287,-0.0016569690525498615,-0.0012020096483869314,-0.0017538992160183176,-0.0018244218181936722
qwen3_06b_chat,none,internal,eos_ce,False,-0.001553152304398986,-0.005482398492816584,0.0023760938840186115,,,-0.0003196404301149536,-0.0036710362283151055,-0.00565703139181295,-0.0006027427681865594,0.002484689296434639
qwen3_06b_chat,none,internal,content_top1,False,0.00010939422945441813,-0.00028240927993116675,0.000501197738840003,,,-0.00020511418022695072,0.00041022836045401245,0.000478599753862996,0.0,-0.00013674278681796714
qwen3_06b_chat,none,internal,first_ce,False,-0.012480784447026627,-0.017620040726807572,-0.007341528167245683,,,-0.014241134527036126,-0.01308527004955784,-0.008626191820885865,-0.008271184321837266,-0.01818014151581604
qwen3_06b_chat,none,internal,first_top1,False,0.002529182879377423,-0.00025148364882006564,0.0053098494075749115,,,0.0009727626459143934,0.0019455252918287869,0.004863813229571967,0.004863813229571967,0.0
qwen3_06b_chat,none,internal,rest_ce,False,-0.0008456081456745202,-0.0013358448917040933,-0.00035537139964494707,,,-0.0010214271228686997,-0.0006407347179704023,-0.000303949520017395,-0.0013482233621858047,-0.0009137060053302989
qwen3_06b_chat,none,internal,rest_top1,False,-7.35402265039431e-05,-0.00042719105652512925,0.000280110603517243,,,-0.00029416090601563916,0.00029416090601552813,0.00014708045300770856,-0.00036770113251949343,-0.00014708045300781958
qwen3_06b_chat,hidden_budget,public,answer_set_probability,True,0.003191527539776673,0.0011939473477658325,0.0051891077317875135,8.724449722490729e-05,0.006295810582328439,0.0025312098921562165,0.001002298261476131,0.0031982931663342984,0.0038769272645120534,0.005348909114404665
qwen3_06b_chat,hidden_budget,public,answer_set_nll,False,-0.008419784549806585,-0.01293910409691891,-0.003900465002694261,,,-0.005224618317763996,-0.004455138207419829,-0.012830455114040351,-0.008410506987682309,-0.011178204122126445
qwen3_06b_chat,hidden_budget,public,content_micro_ce,False,-0.001154242127638222,-0.0016068962387719543,-0.0007015880165044898,,,-0.0014762452999259323,-0.0005341093404731545,-0.0011872947609025686,-0.001227099660703529,-0.0013464615761859255
qwen3_06b_chat,hidden_budget,public,content_macro_ce,False,-0.001069193652686895,-0.002508140594214049,0.000369753288840259,,,-0.0009171981485797676,0.0006208685776341039,-0.0014260104770715265,-0.0010173441824430918,-0.002606284032974193
qwen3_06b_chat,hidden_budget,public,total_micro_ce,False,-0.000929317051708195,-0.0016058822311908168,-0.0002527518722255733,,,-0.0009425402275373695,-0.00019225031901826117,-0.001726993531726756,-0.0009431295171389853,-0.0008416716631196031
qwen3_06b_chat,hidden_budget,public,eos_ce,False,0.000914383803675134,-0.0040919203073421,0.005920687914692368,,,0.00343221654164938,0.0026099528932018168,-0.00615088038074324,0.0013845611346401943,0.0032960688296275187
qwen3_06b_chat,hidden_budget,public,content_top1,False,0.0005811162485156007,0.0004850601572935396,0.0006771723397376618,,,0.0004674195911973378,0.0005558503246670954,0.0006695469819852917,0.0006316480962126336,0.0005811162485156451
qwen3_06b_chat,hidden_budget,public,first_ce,False,-0.00451294062368679,-0.008537701507635324,-0.00048817973973825594,,,-0.0035244333899362434,0.00031754400743633227,-0.006463475390483531,-0.004654189379873497,-0.00824014896557701
qwen3_06b_chat,hidden_budget,public,first_top1,False,0.004079942010976523,0.0023179268066979234,0.005841957215255123,,,0.0026923475199337465,0.003831417624521105,0.004142073107590405,0.003313658486072346,0.006420213316765011
qwen3_06b_chat,hidden_budget,public,rest_ce,False,-0.0006875588946438721,-0.0010817751719014836,-0.00029334261738626053,,,-0.00119165439640994,-0.0006524445641508947,-0.00045418190871508723,-0.0007509136285884024,-0.0003885999753550362
qwen3_06b_chat,hidden_budget,public,rest_top1,False,9.49626624077382e-05,-0.00014157701145817769,0.0003315023362736541,,,0.000158271104012786,0.00010071797528099502,0.000187047668378848,0.00025898907929389203,-0.00023021251492783001
qwen3_06b_chat,hidden_budget,public,em,False,0.0024852438645542652,-0.0020048224988209605,0.0069753102279294914,,,-0.0009319664492077884,-0.0012426219322770882,0.0052811432121777635,0.0024852438645542874,0.0068344206275241515
qwen3_06b_chat,hidden_budget,public,f1,False,0.002043559744733958,-0.0008223897144919146,0.004909509203959831,,,-0.0004979574113951335,0.0013178573305012709,0.003655880485484153,0.0005955543499609472,0.005146463969118553
qwen3_06b_chat,hidden_budget,public,avg,False,0.0022644018046442892,-0.0013074510920797625,0.005836254701368341,,,-0.0007149619303015164,3.7617699112368896e-05,0.004468511848830459,0.0015403991072578949,0.0059904422983222405
qwen3_06b_chat,hidden_budget,public,generated_tokens,False,-0.02037899968934447,-0.16112188850157172,0.12036388912288278,,,0.11401056228642403,0.08698353525939773,-0.13171792482137334,-0.06430568499533962,-0.10686548617583114
qwen3_06b_chat,hidden_budget,public,hit_token_cap,False,-6.213109661385523e-05,-0.0002346346756879651,0.00011037248246025466,,,0.0,0.0,-0.00031065548306927616,0.0,0.0
qwen3_06b_chat,hidden_budget,internal,answer_set_probability,False,0.003333451206189164,0.0022324991927221488,0.0044344032196561795,,,0.00300125161627679,0.002912626971302623,0.002450509382274202,0.003543346784541046,0.00475952127655116
qwen3_06b_chat,hidden_budget,internal,answer_set_nll,False,-0.02326400115072813,-0.02836121516192171,-0.01816678713953455,,,-0.027109020626936875,-0.022558136214029467,-0.016549028972794755,-0.0256186730217558,-0.024485146918123757
qwen3_06b_chat,hidden_budget,internal,content_micro_ce,False,-0.0015703896595102129,-0.0022546970152418186,-0.000886082303778607,,,-0.0019890648957612833,-0.0014395979098778544,-0.000672249384850776,-0.001753697986819014,-0.001997338120242137
qwen3_06b_chat,hidden_budget,internal,content_macro_ce,False,-0.002189735897500067,-0.004039259567461692,-0.00034021222753844176,,,-0.0015144410907258765,-0.0017271262039504354,-0.0006259969460570003,-0.0025133484898842706,-0.004567766756882752
