stage,model,task,method,placement,rank,bias,n,mean,reused
common,qwen3_06b_base,cluener,vocab,shared,2,False,3,61.14793846538811,0
common,llama31_8b_base,cluener,affine,e,16,True,5,71.3537405798879,0
common,qwen25_15b_base,wikisql,affine,shared,16,False,3,71.64713541666667,0
confirmation,qwen3_8b_base,wikisql,vocab,eu,1,False,5,84.08203125,0
confirmation,qwen25_7b_base,wikisql,affine,eu,16,True,5,82.24609375,0
common,qwen3_4b_base,wikisql,vocab,shared,1,False,5,81.19140625,0
common,llama31_8b_base,cluener,affine,eu,8,True,3,70.93214091130098,0
common,qwen3_4b_base,wikisql,none,none,0,False,5,80.9765625,0
subset0,qwen3_06b_base,wikisql,vocab,shared,1,False,3,60.9375,0
confirmation,qwen3_8b_base,cluener,affine,eu,16,True,5,71.67440036339876,0
common,qwen3_4b_base,wikisql,affine,shared,8,True,5,81.8359375,0
common,llama31_8b_base,wikisql,affine,eu,16,False,3,80.859375,0
subset0,qwen3_06b_base,cluener,none,none,0,False,3,48.87559330261829,0
common,qwen3_4b_base,wikisql,affine,shared,32,True,5,82.1875,0
common,qwen3_06b_base,cluener,affine,shared,16,False,3,61.91757307471093,0
common,qwen3_8b_base,wikisql,affine,e,16,False,3,82.51953125,0
common,qwen25_15b_base,cluener,vocab,shared,1,False,5,61.82540196689198,0
confirmation,llama31_8b_base,cluener,vocab,eu,1,False,5,70.78233829582919,0
common,qwen3_4b_base,cluener,vocab,shared,1,False,5,69.4403962844941,0
common,qwen25_15b_base,cluener,affine,shared,16,False,3,60.45137477633701,0
common,qwen25_7b_base,wikisql,affine,eu,32,True,3,82.25911458333333,0
common,qwen3_06b_base,wikisql,vocab,shared,2,False,3,69.07552083333333,0
subset0,qwen3_06b_base,cluener,affine,shared,16,True,3,50.881984718112335,0
common,llama31_8b_base,wikisql,affine,u,16,False,5,80.78125,0
common,qwen25_7b_base,wikisql,vocab,e,1,False,5,81.85546875,0
common,qwen25_7b_base,wikisql,vocab,eu,2,False,3,81.86848958333333,0
subset1,qwen3_06b_base,wikisql,none,none,0,False,3,59.016927083333336,0
common,llama31_8b_base,cluener,affine,eu,32,True,3,71.28881840058845,0
common,llama31_8b_base,cluener,affine,u,16,False,5,71.05721954207645,0
common,qwen25_7b_base,cluener,vocab,eu,1,False,5,70.716272894105,0
common,qwen3_4b_base,cluener,affine,shared,8,True,5,69.58914363195204,0
subset1,qwen3_06b_base,wikisql,vocab,shared,1,False,3,60.091145833333336,0
confirmation,qwen3_8b_base,wikisql,affine,eu,16,True,5,84.3359375,0
confirmation,qwen25_7b_base,wikisql,vocab,eu,1,False,5,82.0703125,0
common,qwen3_4b_base,cluener,affine,shared,32,True,5,69.97175272234213,0
confirmation,qwen3_4b_base,wikisql,affine,shared,16,True,5,82.5,0
common,qwen3_4b_base,wikisql,affine,shared,16,True,5,82.1484375,0
common,qwen3_06b_base,wikisql,affine,shared,16,False,3,72.36328125,0
common,qwen3_8b_base,wikisql,affine,eu,16,False,3,83.82161458333333,0
subset0,qwen3_06b_base,wikisql,none,none,0,False,3,59.114583333333336,0
common,qwen25_7b_base,cluener,vocab,eu,2,False,3,70.32660365342858,0
common,qwen3_4b_base,cluener,affine,shared,16,False,3,69.8845857627554,0
common,qwen3_06b_base,cluener,vocab,shared,1,False,5,61.19978235316754,0
common,qwen3_8b_base,cluener,vocab,u,1,False,5,70.64616080208674,0
common,llama31_8b_base,wikisql,vocab,eu,2,False,3,79.39453125,0
common,qwen3_4b_base,wikisql,affine,shared,16,False,3,82.12890625,0
common,llama31_8b_base,cluener,vocab,u,1,False,5,70.5948181390118,0
common,llama31_8b_base,cluener,affine,e,16,False,3,70.31331200636703,0
common,qwen3_8b_base,cluener,affine,eu,16,False,3,71.59537425140617,0
common,llama31_8b_base,wikisql,affine,e,16,True,5,80.8203125,0
common,qwen3_4b_base,wikisql,vocab,shared,2,False,3,80.11067708333333,0
confirmation,llama31_8b_base,wikisql,vocab,eu,1,False,5,81.07421875,0
common,qwen25_7b_base,cluener,affine,eu,16,False,3,70.16010810550726,0
common,qwen3_8b_base,cluener,vocab,eu,2,False,3,71.58029699155962,0
common,qwen3_8b_base,cluener,affine,eu,32,True,3,71.0204213808297,0
common,qwen3_8b_base,wikisql,vocab,u,1,False,5,83.02734375,0
common,qwen25_7b_base,wikisql,affine,eu,16,False,3,82.29166666666667,0
confirmation,qwen25_7b_base,cluener,affine,eu,16,True,5,69.68316795462817,0
common,qwen3_4b_base,cluener,vocab,shared,2,False,3,68.71582105742498,0
common,qwen3_8b_base,cluener,vocab,eu,1,False,5,71.5108437554074,0
